id,category,package_id,bill_type,bill_num,block_type,n_words,editlens_score_max,ai_c65,topic,stage,error,prediction_short,fraction_ai,fraction_ai_assisted,fraction_human,sentences
BILLS-119hconres114ih_preamble,labor_control,BILLS-119hconres114ih,hconres,114,preamble,891,0.32637,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hconres21ih_preamble,labor_control,BILLS-119hconres21ih,hconres,21,preamble,1045,0.22921,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hconres81ih_preamble,labor_control,BILLS-119hconres81ih,hconres,81,preamble,1070,0.30101,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hr122ih_findings,labor_control,BILLS-119hr122ih,hr,122,findings,333,0.19472,False,labor,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hr2668ih_findings,crime_ai,BILLS-119hr2668ih,hr,2668,findings,353,0.8643,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hr309ih_findings,crime_ai,BILLS-119hr309ih,hr,309,findings,851,0.66274,True,crime,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hr4489ih_findings,finance_ai,BILLS-119hr4489ih,hr,4489,findings,249,0.71816,True,finance,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hr5032ih_findings,crime_ai,BILLS-119hr5032ih,hr,5032,findings,112,0.98896,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hr6301ih_findings,crime_ai,BILLS-119hr6301ih,hr,6301,findings,214,0.98627,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hr6306ih_findings,crime_ai,BILLS-119hr6306ih,hr,6306,findings,89,0.78605,True,crime,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
BILLS-119hr6608ih_findings,crime_ai,BILLS-119hr6608ih,hr,6608,findings,73,0.87391,True,crime,STAGE_SUCCESS,,AI,1.0,0.0,0.0,[]
BILLS-119hr6883ih_findings,crime_ai,BILLS-119hr6883ih,hr,6883,findings,412,0.89069,True,crime,STAGE_SUCCESS,,Human,0.0,0.0,1.0,[]
